0 0 99 143
1 0 98 143
2 0 99 141
3 0 98 144
4 0 98 143
5 0 99 142
6 0 97 144
7 0 98 142
8 0 97 144
9 0 173 182
10 0 174 184
11 0 173 185
12 0 175 185
13 0 173 184
14 0 173 183
15 0 41 21
16 0 41 21
17 0 41 21
18 0 40 19
19 0 42 22
0 1 98 143
1 1 97 143
2 1 98 141
3 1 97 143
4 1 97 143
5 1 98 142
6 1 97 143
7 1 98 141
8 1 97 144
0 2 98 142
1 2 96 142
2 2 98 140
3 2 96 142
4 2 97 142
5 2 97 141
6 2 96 143
7 2 97 141
8 2 96 143
0 3 97 142
1 3 96 142
2 3 97 140
3 3 96 142
4 3 96 142
5 3 97 141
6 3 96 142
7 3 96 140
8 3 96 143
0 4 96 141
1 4 95 141
2 4 96 139
3 4 95 141
4 4 96 141
5 4 96 140
6 4 95 142
7 4 96 139
8 4 95 142
0 5 96 141
1 5 94 140
2 5 96 139
3 5 95 141
4 5 95 140
5 5 96 139
6 5 94 141
7 5 95 139
8 5 94 141
0 6 95 140
1 6 94 140
2 6 95 138
3 6 94 140
4 6 94 140
5 6 95 139
6 6 94 141
7 6 95 138
8 6 94 141
0 7 94 139
1 7 93 139
2 7 95 138
3 7 93 140
4 7 94 139
5 7 94 138
6 7 93 140
7 7 94 138
8 7 93 140
0 8 94 139
1 8 93 139
2 8 94 137
3 8 93 139
4 8 93 139
5 8 94 138
6 8 93 139
7 8 93 137
8 8 93 140
0 9 93 138
1 9 92 138
2 9 93 136
3 9 92 138
4 9 93 138
5 9 93 137
6 9 92 139
7 9 93 137
8 9 92 139
0 10 93 138
1 10 91 138
2 10 93 136
3 10 92 138
4 10 92 138
5 10 93 137
6 10 91 138
7 10 92 136
8 10 91 139
0 11 92 137
1 11 91 137
2 11 92 135
3 11 91 137
4 11 91 137
5 11 92 136
6 11 91 138
7 11 92 136
8 11 91 138
9 11 172 182
10 11 174 184
11 11 173 184
12 11 175 184
13 11 173 183
14 11 173 183
0 12 91 137
1 12 90 136
2 12 92 135
3 12 90 137
4 12 91 136
5 12 91 135
6 12 90 137
7 12 91 135
8 12 90 137
9 12 172 181
10 12 174 183
11 12 172 184
12 12 175 184
13 12 173 183
14 12 173 182
0 13 91 136
1 13 89 136
2 13 91 134
3 13 90 136
4 13 90 136
5 13 91 135
6 13 90 136
7 13 90 134
8 13 90 137
9 13 172 181
10 13 174 183
11 13 172 183
12 13 174 183
13 13 172 182
14 13 173 181
0 14 90 135
1 14 89 135
2 14 90 134
3 14 89 136
4 14 90 135
5 14 90 134
6 14 89 136
7 14 90 134
8 14 89 136
9 14 172 180
10 14 173 182
11 14 172 183
12 14 174 183
13 14 172 182
14 14 172 181
0 15 89 135
1 15 88 135
2 15 90 133
3 15 89 135
4 15 89 135
5 15 89 134
6 15 88 135
7 15 89 133
8 15 88 136
9 15 171 180
10 15 173 182
11 15 171 182
12 15 174 182
13 15 172 181
14 15 172 180
0 16 89 134
1 16 88 134
2 16 89 133
3 16 88 134
4 16 88 134
5 16 89 133
6 16 88 135
7 16 89 133
8 16 88 135
9 16 171 179
10 16 173 181
11 16 171 182
12 16 173 182
13 16 172 180
14 16 172 180
0 17 88 134
1 17 87 134
2 17 89 132
3 17 87 134
4 17 88 134
5 17 88 133
6 17 87 134
7 17 88 132
8 17 87 135
9 17 171 179
10 17 172 181
11 17 171 181
12 17 173 181
13 17 171 180
14 17 171 179
0 18 88 133
1 18 86 133
2 18 88 131
3 18 87 133
4 18 87 133
5 18 88 132
6 18 87 134
7 18 87 132
8 18 87 134
9 18 170 178
10 18 172 180
11 18 170 181
12 18 173 180
13 18 171 179
14 18 171 179
0 19 87 133
1 19 86 132
2 19 87 131
3 19 86 133
4 19 87 132
5 19 87 132
6 19 86 133
7 19 87 131
8 19 86 133
9 19 170 178
10 19 172 179
11 19 170 180
12 19 172 180
13 19 171 179
14 19 171 178
0 20 86 132
1 20 85 132
2 20 87 130
3 20 86 132
4 20 86 132
5 20 86 131
6 20 85 132
7 20 86 130
8 20 85 133
9 20 170 177
10 20 171 179
11 20 170 180
12 20 172 179
13 20 170 178
14 20 170 178
0 21 86 132
1 21 85 131
2 21 86 130
3 21 85 132
4 21 85 131
5 21 86 130
6 21 85 132
7 21 86 130
8 21 85 132
9 21 169 177
10 21 171 178
11 21 170 179
12 21 172 179
13 21 170 178
14 21 170 177
0 22 85 131
1 22 84 131
2 22 86 129
3 22 84 131
4 22 85 131
5 22 85 130
6 22 84 131
7 22 85 129
8 22 84 132
9 22 169 176
10 22 171 178
11 22 169 178
12 22 171 178
13 22 170 177
14 22 170 177
0 23 84 130
1 23 83 130
2 23 85 129
3 23 84 130
4 23 84 130
5 23 85 129
6 23 84 131
7 23 84 129
8 23 84 131
9 23 169 176
10 23 171 177
11 23 169 178
12 23 171 178
13 23 169 177
14 23 169 176
0 24 84 130
1 24 83 130
2 24 84 128
3 24 83 130
4 24 83 130
5 24 84 129
6 24 83 130
7 24 84 128
8 24 83 130
9 24 169 175
10 24 170 177
11 24 169 177
12 24 171 177
13 24 169 176
14 24 169 176
0 25 83 129
1 25 82 129
2 25 84 128
3 25 83 129
4 25 83 129
5 25 83 128
6 25 82 129
7 25 83 128
8 25 82 130
9 25 168 175
10 25 170 176
11 25 168 177
12 25 170 177
13 25 169 176
14 25 169 175
0 26 83 129
1 26 81 129
2 26 83 127
3 26 82 129
4 26 82 128
5 26 83 128
6 26 82 129
7 26 82 127
8 26 82 129
9 26 168 174
10 26 170 176
11 26 168 176
12 26 170 176
13 26 169 175
14 26 168 175
0 27 82 128
1 27 81 128
2 27 83 127
3 27 81 128
4 27 82 128
5 27 82 127
6 27 81 128
7 27 82 127
8 27 81 129
9 27 168 174
10 27 169 175
11 27 168 176
12 27 170 176
13 27 168 175
14 27 168 174
0 28 81 128
1 28 80 127
2 28 82 126
3 28 81 128
4 28 81 127
5 28 82 126
6 28 80 128
7 28 81 126
8 28 81 128
9 28 167 173
10 28 169 175
11 28 167 175
12 28 170 175
13 28 168 174
14 28 168 173
0 29 81 127
1 29 80 127
2 29 81 125
3 29 80 127
4 29 80 127
5 29 81 126
6 29 80 127
7 29 81 125
8 29 80 128
9 29 167 172
10 29 169 174
11 29 167 175
12 29 169 174
13 29 168 174
14 29 168 173
0 30 80 126
1 30 79 126
2 30 81 125
3 30 80 126
4 30 80 126
5 30 80 125
6 30 79 127
7 30 80 125
8 30 79 127
9 30 167 172
10 30 168 173
11 30 167 174
12 30 169 174
13 30 167 173
14 30 167 172
0 31 79 126
1 31 78 126
2 31 80 124
3 31 79 126
4 31 79 126
5 31 80 125
6 31 79 126
7 31 79 124
8 31 79 126
9 31 166 171
10 31 168 173
11 31 167 174
12 31 169 173
13 31 167 172
14 31 167 172
15 31 41 21
16 31 41 21
17 31 41 21
18 31 40 20
19 31 42 23
0 32 79 125
1 32 78 125
2 32 79 124
3 32 78 125
4 32 79 125
5 32 79 124
6 32 78 125
7 32 79 124
8 32 78 126
9 32 166 171
10 32 168 172
11 32 166 173
12 32 168 173
13 32 167 172
14 32 167 171
15 32 41 22
16 32 41 22
17 32 41 22
18 32 40 21
19 32 41 23
0 33 78 125
1 33 77 125
2 33 79 123
3 33 78 125
4 33 78 124
5 33 78 124
6 33 77 125
7 33 78 123
8 33 78 125
9 33 166 170
10 33 168 172
11 33 166 173
12 33 168 172
13 33 166 171
14 33 166 171
15 33 41 22
16 33 41 23
17 33 41 23
18 33 40 21
19 33 41 24
0 34 78 124
1 34 76 124
